Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
0.0000000000e+00	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7552933961e+03	4.2632631584e+03	9.5765870697e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.2879550777e+23	1.9442080078e+25	1.1365123670e+07	9.8190469579e+03	4.0000000000e+00
0.0000000000e+00	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7575939137e+03	4.2632631584e+03	9.5765870697e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.2879550777e+23	1.9442080078e+25	1.1350828273e+07	9.8190733964e+03	4.0000000000e+00
0.0000000000e+00	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7591943598e+03	4.2632631584e+03	9.5765870697e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.2879550777e+23	1.9442080078e+25	1.1335747697e+07	9.8190733985e+03	4.0000000000e+00
1.0000000000e+00	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7598875820e+03	4.2632631584e+03	9.5765870697e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.2879550777e+23	1.9442080078e+25	1.1327196127e+07	9.8190733985e+03	4.0000000000e+00
2.0000000000e+00	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7660629662e+03	4.2724426756e+03	9.5608655502e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.3180121931e+23	1.9439074367e+25	1.1312272470e+07	1.0096528126e+04	4.0000000000e+00
1.2000000000e+01	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7661080810e+03	4.2722228246e+03	9.5604125754e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.3146511903e+23	1.9439410467e+25	1.1310963130e+07	1.0089817889e+04	4.0000000000e+00
2.2000000000e+01	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7660731669e+03	4.2720013769e+03	9.5599645651e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.3113053280e+23	1.9439745053e+25	1.1310568432e+07	1.0083050761e+04	4.0000000000e+00
1.2200022000e+02	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7646176983e+03	4.2698027935e+03	9.5555218318e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.2779254638e+23	1.9443083040e+25	1.1310089271e+07	1.0016075846e+04	4.0000000000e+00
2.8200057200e+02	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7624018681e+03	4.2663091601e+03	9.5484671690e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.2246874194e+23	1.9448406844e+25	1.1309752097e+07	9.9104229099e+03	4.0000000000e+00
5.3800113520e+02	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.7589754381e+03	4.2607294202e+03	9.5372001939e+03	1.6517891616e+01	1.0000000000e+00	5.3511705686e-01	6.1396608734e+23	1.9456909499e+25	1.1309280851e+07	9.7436418700e+03	4.0000000000e+00
