Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.3544793106e+02	1.7967293869e+22	5.6482684168e-03	6.3866439568e+20	1.0458394397e-01	8.1817180130e+18	2.6523523575e-03	5.1666289275e-03	1.9304590369e-10	2.8165241828e+21	8.7424846089e-01	7.6814118880e-03	8.8462381915e-06	2.9810885905e-33	1.0044984829e-05
1.0000000000e+00	3.3544793021e+02	1.7967293868e+22	5.6482684674e-03	6.3866439298e+20	1.0458394396e-01	8.1817180130e+18	2.6523523643e-03	5.1666289738e-03	1.9304590615e-10	2.8165241750e+21	8.7424846080e-01	7.6814118873e-03	8.8462382702e-06	2.9810885981e-33	1.0044984950e-05
1.0000000000e+00	3.3544793021e+02	1.7967293868e+22	5.6482684674e-03	6.3866439298e+20	1.0458394396e-01	8.1817180130e+18	2.6523523643e-03	5.1666289738e-03	1.9304590615e-10	2.8165241749e+21	8.7424846080e-01	7.6814118873e-03	8.8462382702e-06	2.9810885981e-33	1.0044984950e-05
1.0000000000e+00	3.3544793021e+02	1.7967293868e+22	5.6482684674e-03	6.3866439298e+20	1.0458394396e-01	8.1817180130e+18	2.6523523643e-03	5.1666289738e-03	1.9304590615e-10	2.8165241749e+21	8.7424846080e-01	7.6814118873e-03	8.8462382702e-06	2.9810885981e-33	1.0044984950e-05
1.0000000000e+00	3.3548192050e+02	1.7965963236e+22	5.6468605177e-03	6.3764012250e+20	1.0440335296e-01	8.4191430904e+18	2.7290443846e-03	5.1703984377e-03	1.9162729968e-10	2.8171353161e+21	8.7435118927e-01	7.6801324708e-03	8.9321255677e-06	2.9807865607e-33	1.0047568663e-05
1.0000000000e+00	3.3547978545e+02	1.7966045814e+22	5.6469488214e-03	6.3770341667e+20	1.0441452413e-01	8.4042846679e+18	2.7242454013e-03	5.1701653133e-03	1.9171442769e-10	2.8170974041e+21	8.7434488783e-01	7.6802120192e-03	8.9268033478e-06	2.9808055310e-33	1.0047411931e-05
1.0000000000e+00	3.3547766380e+02	1.7966128372e+22	5.6470363513e-03	6.3776675914e+20	1.0442569684e-01	8.3894471399e+18	2.7194530211e-03	5.1699315804e-03	1.9180161725e-10	2.8170595883e+21	8.7433857967e-01	7.6802915314e-03	8.9214807009e-06	2.9808243824e-33	1.0047253246e-05
1.0000000000e+00	3.3545678040e+02	1.7966944506e+22	5.6479004624e-03	6.3839461249e+20	1.0453640751e-01	8.2436443211e+18	2.6723571523e-03	5.1676200588e-03	1.9267030611e-10	2.8166848000e+21	8.7427568156e-01	7.6810764600e-03	8.8688127428e-06	2.9810099495e-33	1.0045671751e-05
1.0000000000e+00	3.3542387901e+02	1.7968244667e+22	5.6492708764e-03	6.3940128952e+20	1.0471377415e-01	8.0146382759e+18	2.5983746936e-03	5.1639325141e-03	1.9407996764e-10	2.8160843769e+21	8.7417345467e-01	7.6823229028e-03	8.7847162911e-06	2.9813023537e-33	1.0043099473e-05
1.0000000000e+00	3.3537248295e+02	1.7970311429e+22	5.6514347412e-03	6.4101820719e+20	1.0499830757e-01	7.6588056404e+18	2.4833929906e-03	5.1580587348e-03	1.9638838544e-10	2.8151210704e+21	8.7400577952e-01	7.6842945235e-03	8.6505469906e-06	2.9817592404e-33	1.0038876832e-05
1.0000000000e+00	3.3529344755e+02	1.7973579338e+22	5.6548202129e-03	6.4361824312e+20	1.0545496646e-01	7.1164584780e+18	2.3080790667e-03	5.1487419171e-03	2.0021769136e-10	2.8135747740e+21	8.7372749147e-01	7.6873891542e-03	8.4371720075e-06	2.9824621009e-33	1.0031855786e-05
1.0000000000e+00	3.3517558964e+02	1.7978671901e+22	5.6600102465e-03	6.4778277705e+20	1.0618428382e-01	6.3198336830e+18	2.0504307011e-03	5.1341539378e-03	2.0666554478e-10	2.8111046458e+21	8.7326079429e-01	7.6921623560e-03	8.1016173692e-06	2.9835108251e-33	1.0020034307e-05
1.0000000000e+00	3.3500618707e+02	1.7986514813e+22	5.6678072814e-03	6.5449387992e+20	1.0735457950e-01	5.2048835747e+18	1.6895459993e-03	5.1115327888e-03	2.1792816038e-10	2.8071397244e+21	8.7245949157e-01	7.6994223666e-03	7.5774092283e-06	2.9850194969e-33	9.9995630265e-06
