Phi_global	fO2_shift_IW_derived
1.0000000000e+00	-1.8702953161e-02
1.0000000000e+00	-1.8702953161e-02
1.0000000000e+00	-1.8702953161e-02
1.0000000000e+00	-1.8702953161e-02
1.0000000000e+00	-1.7904087857e-02
1.0000000000e+00	-1.7957704297e-02
1.0000000000e+00	-1.8011327114e-02
1.0000000000e+00	-1.8542521395e-02
1.0000000000e+00	-1.9393537104e-02
1.0000000000e+00	-2.0758014888e-02
1.0000000000e+00	-2.2941007521e-02
1.0000000000e+00	-2.6420603181e-02
1.0000000000e+00	-3.1932944062e-02
1.0000000000e+00	-4.3147903716e-02
1.0000000000e+00	-4.7330448674e-02
1.0000000000e+00	-5.0566307529e-02
1.0000000000e+00	-5.3322262322e-02
9.9983736082e-01	-5.5313084985e-02
9.9978304546e-01	-5.5304224754e-02
9.9972931680e-01	-5.5294399522e-02
9.9967547659e-01	-5.5283095222e-02
9.9962159941e-01	-5.5270216495e-02
9.9956710918e-01	-5.5255800759e-02
9.9951255136e-01	-5.5240092405e-02
9.9945739026e-01	-5.5223195089e-02
9.9940157901e-01	-5.5205248481e-02
9.9934470692e-01	-5.5186320295e-02
9.9928717993e-01	-5.5166558657e-02
9.9922909910e-01	-5.5146056009e-02
9.9917083204e-01	-5.5124924746e-02
9.9911222883e-01	-5.5103201804e-02
9.9905266302e-01	-5.5080856087e-02
9.9899229741e-01	-5.5057949095e-02
9.9893119926e-01	-5.5034525167e-02
9.9886939817e-01	-5.5010619761e-02
9.9880691832e-01	-5.4986264276e-02
9.9874373518e-01	-5.4961481275e-02
9.9867912466e-01	-5.4936203228e-02
9.9861297226e-01	-5.4910437317e-02
9.9854647077e-01	-5.4884353438e-02
9.9847973487e-01	-5.4857984878e-02
9.9841276334e-01	-5.4831349372e-02
9.9834555494e-01	-5.4804463815e-02
9.9827810846e-01	-5.4777344383e-02
9.9821042261e-01	-5.4750006545e-02
9.9814249618e-01	-5.4722465103e-02
9.9807432787e-01	-5.4694734041e-02
9.9800591644e-01	-5.4666826370e-02
9.9793726058e-01	-5.4638753797e-02
9.9786835903e-01	-5.4610526295e-02
9.9779921015e-01	-5.4582151464e-02
9.9772981172e-01	-5.4553633741e-02
9.9766016219e-01	-5.4524973631e-02
9.9759026029e-01	-5.4496166582e-02
9.9752010526e-01	-5.4467201790e-02
9.9744969560e-01	-5.4438060780e-02
9.9737903014e-01	-5.4408716201e-02
9.9730810743e-01	-5.4379130643e-02
9.9723692615e-01	-5.4349255798e-02
9.9716548456e-01	-5.4319031734e-02
9.9709378174e-01	-5.4288387026e-02
9.9702181523e-01	-5.4257238917e-02
9.9694958447e-01	-5.4225494606e-02
9.9687708739e-01	-5.4193052287e-02
9.9680432227e-01	-5.4159803136e-02
9.9673128820e-01	-5.4125633371e-02
9.9665798246e-01	-5.4090426101e-02
9.9658440431e-01	-5.4054064031e-02
9.9651055197e-01	-5.4016431462e-02
9.9643642316e-01	-5.3977416891e-02
9.9636201736e-01	-5.3936916109e-02
9.9628733140e-01	-5.3894834802e-02
9.9621236518e-01	-5.3851092567e-02
9.9613711561e-01	-5.3805625551e-02
9.9606158238e-01	-5.3758390402e-02
9.9598576220e-01	-5.3709366026e-02
9.9590965460e-01	-5.3658556077e-02
9.9583325723e-01	-5.3605988625e-02
9.9575656770e-01	-5.3551715752e-02
9.9567958362e-01	-5.3495811341e-02
9.9560230261e-01	-5.3438368143e-02
9.9552472236e-01	-5.3379494135e-02
9.9544684556e-01	-5.3319309141e-02
9.9536867076e-01	-5.3257939638e-02
9.9529019632e-01	-5.3195515490e-02
9.9521142064e-01	-5.3132166638e-02
9.9513234205e-01	-5.3068020316e-02
9.9505295894e-01	-5.3003198974e-02
9.9497326964e-01	-5.2937818614e-02
9.9489327248e-01	-5.2871987834e-02
9.9481296574e-01	-5.2805807253e-02
9.9473234770e-01	-5.2739369335e-02
9.9465141660e-01	-5.2672758502e-02
9.9457017063e-01	-5.2606051385e-02
9.9448860806e-01	-5.2539317021e-02
9.9440672707e-01	-5.2472597135e-02
9.9432452590e-01	-5.2405314770e-02
9.9424200272e-01	-5.2338170571e-02
9.9415915555e-01	-5.2271135905e-02
9.9407598115e-01	-5.2203440291e-02
9.9399246198e-01	-5.2126406156e-02
9.9396843548e-01	-5.1959652885e-02
9.9396493320e-01	-5.1653116346e-02
9.9396170150e-01	-5.1546804526e-02
9.9395849374e-01	-5.1472045590e-02
9.9395530449e-01	-5.1427131152e-02
9.9395212821e-01	-5.1401109164e-02
9.9394896159e-01	-5.1384889953e-02
9.9394579873e-01	-5.1373606911e-02
9.9394263853e-01	-5.1364590351e-02
9.9393948097e-01	-5.1356884971e-02
9.9393633210e-01	-5.1349768517e-02
9.9393318785e-01	-5.1343813170e-02
9.9393005080e-01	-5.1339363717e-02
9.9392692577e-01	-5.1337213631e-02
9.9392383154e-01	-5.1339248426e-02
9.9392078015e-01	-5.1349189371e-02
9.9391780694e-01	-5.1373505355e-02
9.9391498745e-01	-5.1425631627e-02
