Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	3.3560894246e+02	1.6054878232e+22	4.5086370059e-03	2.1719414648e+20	3.5549549679e-02	8.1817058852e+17	2.6510805469e-04	1.3041790491e-02	4.1851050123e-09	3.0270783106e+21	9.3973190474e-01	6.8938617559e-03	8.9897217472e-07	2.9796583865e-33	8.0849479071e-06
1.0000000000e+00	3.3560894116e+02	1.6054878231e+22	4.5086370632e-03	2.1719414511e+20	3.5549549670e-02	8.1817058852e+17	2.6510805573e-04	1.3041790657e-02	4.1851050852e-09	3.0270782976e+21	9.3973190452e-01	6.8938617599e-03	8.9897218627e-07	2.9796583981e-33	8.0849480461e-06
1.0000000000e+00	3.3560894116e+02	1.6054878231e+22	4.5086370632e-03	2.1719414511e+20	3.5549549670e-02	8.1817058852e+17	2.6510805573e-04	1.3041790657e-02	4.1851050852e-09	3.0270782976e+21	9.3973190452e-01	6.8938617599e-03	8.9897218628e-07	2.9796583981e-33	8.0849480461e-06
1.0000000000e+00	3.3560894116e+02	1.6054878231e+22	4.5086370632e-03	2.1719414511e+20	3.5549549670e-02	8.1817058852e+17	2.6510805573e-04	1.3041790657e-02	4.1851050852e-09	3.0270782976e+21	9.3973190452e-01	6.8938617599e-03	8.9897218628e-07	2.9796583981e-33	8.0849480461e-06
1.0000000000e+00	3.3561260759e+02	1.6052954954e+22	4.5075086053e-03	2.1681306435e+20	3.5485976890e-02	8.4184500009e+17	2.7277618651e-04	1.3051256113e-02	4.1533976956e-09	3.0272630784e+21	9.3977948642e-01	6.8938360183e-03	9.0792968416e-07	2.9796258466e-33	8.0877758526e-06
1.0000000000e+00	3.3561230450e+02	1.6053103500e+22	4.5075965837e-03	2.1684237144e+20	3.5490869101e-02	8.4000128141e+17	2.7217902714e-04	1.3050527227e-02	4.1558220017e-09	3.0272486834e+21	9.3977583103e-01	6.8938381500e-03	9.0723859421e-07	2.9796285374e-33	8.0875609012e-06
1.0000000000e+00	3.3561202015e+02	1.6053251733e+22	4.5076835337e-03	2.1687165164e+20	3.5495753713e-02	8.3816412548e+17	2.7158397801e-04	1.3049797540e-02	4.1582441818e-09	3.0272344881e+21	9.3977218303e-01	6.8938402057e-03	9.0654874374e-07	2.9796310619e-33	8.0873441318e-06
1.0000000000e+00	3.3560920913e+02	1.6054718773e+22	4.5085444547e-03	2.1716240959e+20	3.5544260153e-02	8.2011705961e+17	2.6573854962e-04	1.3042577886e-02	4.1824497049e-09	3.0270933541e+21	9.3973586993e-01	6.8938597875e-03	8.9971559467e-07	2.9796560189e-33	8.0851861817e-06
1.0000000000e+00	3.3560480267e+02	1.6057054631e+22	4.5099141289e-03	2.1762913022e+20	3.5622117304e-02	7.9188596145e+17	2.5659433295e-04	1.3031082722e-02	4.2218820976e-09	3.0268667652e+21	9.3967726840e-01	6.8938879058e-03	8.8881352912e-07	2.9796951416e-33	8.0816960806e-06
1.0000000000e+00	3.3559795163e+02	1.6060762548e+22	4.5120868650e-03	2.1837976167e+20	3.5747329198e-02	7.4833041612e+17	2.4248600584e-04	1.3012839461e-02	4.2868292430e-09	3.0265019107e+21	9.3958222091e-01	6.8939247876e-03	8.7145156806e-07	2.9797559703e-33	8.0760186819e-06
