Phi_global	fO2_shift_IW_derived
1.0000000000e+00	-1.0134722091e+00
1.0000000000e+00	-1.0134722091e+00
1.0000000000e+00	-1.0134722091e+00
1.0000000000e+00	-1.0134722091e+00
1.0000000000e+00	-1.0126003763e+00
1.0000000000e+00	-1.0126677688e+00
1.0000000000e+00	-1.0127350198e+00
1.0000000000e+00	-1.0134009553e+00
1.0000000000e+00	-1.0144627157e+00
1.0000000000e+00	-1.0161518306e+00
1.0000000000e+00	-1.0188140638e+00
1.0000000000e+00	-1.0229753799e+00
1.0000000000e+00	-1.0293716685e+00
1.0000000000e+00	-1.0402632213e+00
1.0000000000e+00	-1.0433848356e+00
1.0000000000e+00	-1.0450381445e+00
1.0000000000e+00	-1.0463976002e+00
1.0000000000e+00	-1.0486839493e+00
9.9981142301e-01	-1.0493549610e+00
9.9975703665e-01	-1.0493471801e+00
9.9970321024e-01	-1.0493384440e+00
9.9964938633e-01	-1.0493283584e+00
9.9959537365e-01	-1.0493168563e+00
9.9953999266e-01	-1.0493039297e+00
9.9948433578e-01	-1.0492898527e+00
9.9942790413e-01	-1.0492747215e+00
9.9937117946e-01	-1.0492587121e+00
9.9931430153e-01	-1.0492419418e+00
9.9925661605e-01	-1.0492244252e+00
9.9919855188e-01	-1.0492062763e+00
9.9914030263e-01	-1.0491875730e+00
9.9908091571e-01	-1.0491682629e+00
9.9902028993e-01	-1.0491483766e+00
9.9895945619e-01	-1.0491280590e+00
9.9889841125e-01	-1.0491073411e+00
9.9883650081e-01	-1.0490861815e+00
9.9877410730e-01	-1.0490646455e+00
9.9871046503e-01	-1.0490426748e+00
9.9864633480e-01	-1.0490203705e+00
9.9858119442e-01	-1.0489976963e+00
9.9851440536e-01	-1.0489746024e+00
9.9844676344e-01	-1.0489511899e+00
9.9837888308e-01	-1.0489275396e+00
9.9831076306e-01	-1.0489036665e+00
9.9824240212e-01	-1.0488795850e+00
9.9817379901e-01	-1.0488553089e+00
9.9810495243e-01	-1.0488308514e+00
9.9803586115e-01	-1.0488062249e+00
9.9796652387e-01	-1.0487814408e+00
9.9789693929e-01	-1.0487565095e+00
9.9782710613e-01	-1.0487314395e+00
9.9775702249e-01	-1.0487062371e+00
9.9768668631e-01	-1.0486809057e+00
9.9761609602e-01	-1.0486554449e+00
9.9754525054e-01	-1.0486298495e+00
9.9747414892e-01	-1.0486041086e+00
9.9740278983e-01	-1.0485782039e+00
9.9733117184e-01	-1.0485521089e+00
9.9725929371e-01	-1.0485257881e+00
9.9718715375e-01	-1.0484991955e+00
9.9711475064e-01	-1.0484722751e+00
9.9704208305e-01	-1.0484449602e+00
9.9696914890e-01	-1.0484171739e+00
9.9689594736e-01	-1.0483888305e+00
9.9682247619e-01	-1.0483598366e+00
9.9674873408e-01	-1.0483300925e+00
9.9667471985e-01	-1.0482994944e+00
9.9660043061e-01	-1.0482679361e+00
9.9652586605e-01	-1.0482353111e+00
9.9645102380e-01	-1.0482015151e+00
9.9637590219e-01	-1.0481664477e+00
9.9630050022e-01	-1.0481300156e+00
9.9622481496e-01	-1.0480921351e+00
9.9614884631e-01	-1.0480527353e+00
9.9607259083e-01	-1.0480117611e+00
9.9599604853e-01	-1.0479691762e+00
9.9591921620e-01	-1.0479249648e+00
9.9584209291e-01	-1.0478791335e+00
9.9576467659e-01	-1.0478317112e+00
9.9568696482e-01	-1.0477827480e+00
9.9560895517e-01	-1.0477323134e+00
9.9553064481e-01	-1.0476804935e+00
9.9545203289e-01	-1.0476273875e+00
9.9537312119e-01	-1.0475731046e+00
9.9529390815e-01	-1.0475177596e+00
9.9521439210e-01	-1.0474614696e+00
9.9513457142e-01	-1.0474043517e+00
9.9505444445e-01	-1.0473465200e+00
9.9497400953e-01	-1.0472880840e+00
9.9489326497e-01	-1.0472291475e+00
9.9481220911e-01	-1.0471698073e+00
9.9473084020e-01	-1.0471101533e+00
9.9464915653e-01	-1.0470502677e+00
9.9456715627e-01	-1.0469902259e+00
9.9448483764e-01	-1.0469300960e+00
9.9440219885e-01	-1.0468699398e+00
9.9431923811e-01	-1.0468096752e+00
9.9423595360e-01	-1.0467490136e+00
9.9415234352e-01	-1.0466884689e+00
9.9406840577e-01	-1.0466279738e+00
9.9398413620e-01	-1.0465663856e+00
9.9389950835e-01	-1.0464911215e+00
9.9389168955e-01	-1.0462886704e+00
9.9388827849e-01	-1.0460775587e+00
9.9388502429e-01	-1.0459805618e+00
9.9388179412e-01	-1.0459122137e+00
9.9387858262e-01	-1.0458710844e+00
9.9387538419e-01	-1.0458472776e+00
9.9387219560e-01	-1.0458324691e+00
9.9386901088e-01	-1.0458222118e+00
9.9386582892e-01	-1.0458140453e+00
9.9386264962e-01	-1.0458071097e+00
9.9385947949e-01	-1.0458007461e+00
9.9385631448e-01	-1.0457955199e+00
9.9385315755e-01	-1.0457918048e+00
9.9385001408e-01	-1.0457904280e+00
9.9384690451e-01	-1.0457933723e+00
9.9384384354e-01	-1.0458044056e+00
9.9384087081e-01	-1.0458301419e+00
9.9383806940e-01	-1.0458840665e+00
9.9383563698e-01	-1.0459983922e+00
9.9383388015e-01	-1.0462258472e+00
9.9383338343e-01	-1.0465976366e+00
9.9383428781e-01	-1.0471997714e+00
9.9382803536e-01	-1.0481855177e+00
9.9364739319e-01	-1.0487008397e+00
9.9359212887e-01	-1.0486922819e+00
9.9353715320e-01	-1.0486824626e+00
9.9348226672e-01	-1.0486710442e+00
9.9342645800e-01	-1.0486579586e+00
9.9336959391e-01	-1.0486433811e+00
9.9331228128e-01	-1.0486275789e+00
9.9325430533e-01	-1.0486107023e+00
9.9319617313e-01	-1.0485929442e+00
9.9313739275e-01	-1.0485743624e+00
9.9307801320e-01	-1.0485550503e+00
9.9301844233e-01	-1.0485351232e+00
9.9295772837e-01	-1.0485145389e+00
9.9289564934e-01	-1.0484933236e+00
9.9283335560e-01	-1.0484716421e+00
9.9277084381e-01	-1.0484495307e+00
9.9270724269e-01	-1.0484269286e+00
9.9264304532e-01	-1.0484039167e+00
9.9257773942e-01	-1.0483804659e+00
9.9251159125e-01	-1.0483566274e+00
9.9244433299e-01	-1.0483323939e+00
9.9237522409e-01	-1.0483077060e+00
9.9230578143e-01	-1.0482827433e+00
9.9223609411e-01	-1.0482575325e+00
9.9216616086e-01	-1.0482320899e+00
9.9209598042e-01	-1.0482064307e+00
9.9202555150e-01	-1.0481805699e+00
9.9195487280e-01	-1.0481545215e+00
9.9188394304e-01	-1.0481282990e+00
9.9181276091e-01	-1.0481019150e+00
9.9174132508e-01	-1.0480753812e+00
9.9166963194e-01	-1.0480487073e+00
9.9159767718e-01	-1.0480219014e+00
9.9152545889e-01	-1.0479949691e+00
9.9145297748e-01	-1.0479679130e+00
9.9138023293e-01	-1.0479407311e+00
9.9130722499e-01	-1.0479134163e+00
9.9123395057e-01	-1.0478859541e+00
9.9116041073e-01	-1.0478583230e+00
9.9108660131e-01	-1.0478304914e+00
9.9101252357e-01	-1.0478024185e+00
9.9093817349e-01	-1.0477740519e+00
9.9086355108e-01	-1.0477453285e+00
9.9078865456e-01	-1.0477161740e+00
9.9071348032e-01	-1.0476865037e+00
