Phi_global	fO2_shift_IW_derived
1.0000000000e+00	1.9612369450e+00
1.0000000000e+00	1.9612369450e+00
1.0000000000e+00	1.9612369450e+00
1.0000000000e+00	1.9612369450e+00
1.0000000000e+00	1.9540842892e+00
1.0000000000e+00	1.9544581207e+00
1.0000000000e+00	1.9548318949e+00
1.0000000000e+00	1.9585364889e+00
1.0000000000e+00	1.9644612413e+00
1.0000000000e+00	1.9739456955e+00
1.0000000000e+00	1.9891311694e+00
1.0000000000e+00	2.0132412899e+00
1.0000000000e+00	2.0515356773e+00
1.0000000000e+00	2.0760714391e+00
1.0000000000e+00	2.0927548317e+00
1.0000000000e+00	2.1048388522e+00
1.0000000000e+00	2.1139720562e+00
1.0000000000e+00	2.1198027093e+00
1.0000000000e+00	2.1244615586e+00
1.0000000000e+00	2.1281180307e+00
1.0000000000e+00	2.1416063576e+00
1.0000000000e+00	2.1506175076e+00
1.0000000000e+00	2.1647609305e+00
1.0000000000e+00	2.1868241438e+00
1.0000000000e+00	2.2209626354e+00
1.0000000000e+00	2.2529352110e+00
9.9996901160e-01	2.2774478676e+00
9.9978836339e-01	2.2817186212e+00
9.9973089782e-01	2.2817057040e+00
9.9967393561e-01	2.2816818924e+00
9.9961699876e-01	2.2816443324e+00
9.9955981783e-01	2.2815928335e+00
9.9950221731e-01	2.2815286960e+00
9.9944454081e-01	2.2814535199e+00
9.9938604990e-01	2.2813688627e+00
9.9932731613e-01	2.2812759234e+00
9.9926842766e-01	2.2811757094e+00
9.9920865460e-01	2.2810691089e+00
9.9914741896e-01	2.2809568494e+00
9.9908598755e-01	2.2808393864e+00
9.9902398198e-01	2.2807172277e+00
9.9896124140e-01	2.2805907934e+00
9.9889828598e-01	2.2804603907e+00
9.9883511192e-01	2.2803263278e+00
9.9877078607e-01	2.2801889574e+00
9.9870513842e-01	2.2800485385e+00
9.9863925756e-01	2.2799051992e+00
9.9857309744e-01	2.2797591459e+00
9.9850566507e-01	2.2796106506e+00
9.9843699465e-01	2.2794598848e+00
9.9836729142e-01	2.2793069951e+00
9.9829607397e-01	2.2791521784e+00
9.9822460565e-01	2.2789954755e+00
9.9815288516e-01	2.2788370288e+00
9.9808091119e-01	2.2786769747e+00
9.9800868238e-01	2.2785154434e+00
9.9793619745e-01	2.2783525579e+00
9.9786345510e-01	2.2781884320e+00
9.9779045391e-01	2.2780231669e+00
9.9771719247e-01	2.2778568474e+00
9.9764366875e-01	2.2776895367e+00
9.9756988075e-01	2.2775212690e+00
9.9749582688e-01	2.2773520407e+00
9.9742150599e-01	2.2771818008e+00
9.9734691700e-01	2.2770104398e+00
9.9727205869e-01	2.2768377792e+00
9.9719692931e-01	2.2766635588e+00
