Phi_global	P_surf	H2O_kg_total	H2O_vmr	CO2_kg_total	CO2_vmr	O2_kg_total	O2_vmr	H2_vmr	CH4_vmr	CO_kg_total	CO_vmr	N2_vmr	S2_vmr	SO2_vmr	H2S_vmr
1.0000000000e+00	1.6901277437e+05	2.0835810987e+22	1.5072303510e-05	3.6301808247e+21	2.4470358886e-03	1.4796800230e+24	9.9745320835e-01	4.4679517754e-08	7.3359880309e-22	1.0912153467e+20	6.7545394940e-05	1.7093378642e-05	2.1218615944e-15	5.9167125310e-36	2.6771942408e-14
1.0000000000e+00	1.6902263355e+05	2.0835811121e+22	1.4389944118e-05	3.7149587068e+21	2.5040353128e-03	1.4796800230e+24	9.9739502637e-01	4.2656768639e-08	6.8433435676e-22	1.1184092844e+20	6.9118746863e-05	1.7386973828e-05	2.0784571552e-15	5.9163674059e-36	2.5297874713e-14
1.0000000000e+00	1.6902263444e+05	2.0835811121e+22	1.4389884651e-05	3.7149663552e+21	2.5040404548e-03	1.4796800230e+24	9.9739502112e-01	4.2656592359e-08	6.8433011319e-22	1.1184117410e+20	6.9118888797e-05	1.7387000052e-05	2.0784532439e-15	5.9163673748e-36	2.5297746433e-14
1.0000000000e+00	1.6902263444e+05	2.0835811121e+22	1.4389884646e-05	3.7149663559e+21	2.5040404553e-03	1.4796800230e+24	9.9739502111e-01	4.2656592343e-08	6.8433011281e-22	1.1184117412e+20	6.9118888810e-05	1.7387000054e-05	2.0784532435e-15	5.9163673748e-36	2.5297746421e-14
1.0000000000e+00	1.7332779357e+05	2.0835539743e+22	1.4033351763e-05	3.8060489413e+21	2.6157088023e-03	1.4510805200e+24	9.9728000040e-01	4.1644656111e-08	7.1235318568e-22	1.1508391979e+20	7.2330438655e-05	1.7885362785e-05	2.0837238602e-15	5.7694151608e-36	2.4923079003e-14
1.0000000000e+00	2.3334390477e+05	2.0834297069e+22	1.0937205069e-05	3.7123153147e+21	1.8951424005e-03	1.9549982797e+24	9.9803029594e-01	3.2902393186e-08	5.4621948692e-22	1.1450822213e+20	5.3564797981e-05	1.0026754930e-05	1.4257268777e-15	4.2855201252e-36	1.7854278653e-14
1.0000000000e+00	2.8000496146e+05	2.0833451006e+22	8.8142096743e-06	3.7726542999e+21	1.6050000976e-03	2.3466526938e+24	9.9833638153e-01	2.6758519833e-08	4.2379304453e-22	1.1811647377e+20	4.6003654059e-05	3.7737547159e-06	1.1007024984e-15	3.5713652886e-36	1.3494308228e-14
1.0000000000e+00	2.7814745263e+05	2.0833476518e+22	8.6487466379e-06	3.8211934879e+21	1.6365064351e-03	2.3310096975e+24	9.9830397347e-01	2.6247155512e-08	4.1082813934e-22	1.1967923931e+20	4.6882270648e-05	3.9628260927e-06	1.0971436079e-15	3.5952153814e-36	1.3188076842e-14
1.0000000000e+00	2.7630377069e+05	2.0833508443e+22	8.7153174410e-06	3.8193387927e+21	1.6466266662e-03	2.3155339868e+24	9.9829329550e-01	2.6440131484e-08	4.1450233112e-22	1.1955601932e+20	4.7147744639e-05	4.1883354774e-06	1.1074079372e-15	3.6192050419e-36	1.3319797684e-14
1.0000000000e+00	2.7338132019e+05	2.0833559139e+22	8.8173948237e-06	3.8175455953e+21	1.6634477445e-03	2.2910020083e+24	9.9827556230e-01	2.6735217257e-08	4.2006041537e-22	1.1939854039e+20	4.7589980854e-05	4.5558489743e-06	1.1236979580e-15	3.6578943993e-36	1.3522901471e-14
1.0000000000e+00	2.6876832234e+05	2.0833639840e+22	8.9831271252e-06	3.8147046669e+21	1.6907390946e-03	2.2522790339e+24	9.9824678449e-01	2.7214077367e-08	4.2911083599e-22	1.1914824454e+20	4.8306906352e-05	5.1591708326e-06	1.1502827316e-15	3.7206765711e-36	1.3854344265e-14
1.0000000000e+00	2.6155161919e+05	2.0833767805e+22	9.2544106930e-06	3.8102236450e+21	1.7353488186e-03	2.1916997685e+24	9.9819974617e-01	2.7997297329e-08	4.4399572377e-22	1.1875196653e+20	4.9477248140e-05	6.1453586079e-06	1.1941547263e-15	3.8233370647e-36	1.4401321025e-14
1.0000000000e+00	2.5041252092e+05	2.0833969631e+22	9.7045347297e-06	3.8032224335e+21	1.8092115472e-03	2.0981949149e+24	9.9812192644e-01	2.9295226712e-08	4.6888225419e-22	1.1812866364e+20	5.1411026372e-05	7.7171600561e-06	1.2679132812e-15	3.9934105384e-36	1.5320851487e-14
