R_int	Phi_global	P_surf
1.0934877157e+07	1.0000000000e+00	1.3924399270e+04
1.0934877157e+07	1.0000000000e+00	1.3924862313e+04
1.0934877157e+07	1.0000000000e+00	1.3924862747e+04
1.0934877157e+07	1.0000000000e+00	1.3924862748e+04
1.0934877157e+07	1.0000000000e+00	1.4219629387e+04
1.0934877157e+07	1.0000000000e+00	1.4219313021e+04
1.0934877157e+07	1.0000000000e+00	1.4218836536e+04
1.0934877157e+07	1.0000000000e+00	1.4214073421e+04
1.0934877157e+07	1.0000000000e+00	1.4206455659e+04
1.0934877157e+07	1.0000000000e+00	1.4194280447e+04
1.0934877157e+07	1.0000000000e+00	1.4174833862e+04
1.0934877157e+07	1.0000000000e+00	1.4144130025e+04
1.0934877157e+07	1.0000000000e+00	1.4095261590e+04
1.0934877157e+07	1.0000000000e+00	1.4017618082e+04
1.0934877157e+07	1.0000000000e+00	1.3894774865e+04
1.0934877157e+07	1.0000000000e+00	1.3701726027e+04
1.0934877157e+07	1.0000000000e+00	1.3401577695e+04
1.0934877157e+07	1.0000000000e+00	1.2942804902e+04
1.0934877157e+07	1.0000000000e+00	1.2264965493e+04
1.0934877157e+07	1.0000000000e+00	1.1302717836e+04
1.0934877157e+07	1.0000000000e+00	1.0642488944e+04
1.0934877157e+07	1.0000000000e+00	1.0166713502e+04
1.0934877157e+07	1.0000000000e+00	9.4598832934e+03
1.0934877157e+07	1.0000000000e+00	8.4433610534e+03
1.0777031606e+07	1.0000000000e+00	7.4189469554e+03
1.0732396988e+07	1.0000000000e+00	6.7087998431e+03
1.0732396988e+07	9.9981291249e-01	6.4681180924e+03
1.0732396988e+07	9.9975528737e-01	6.4683889608e+03
1.0732396988e+07	9.9969822295e-01	6.4688544574e+03
1.0732396988e+07	9.9964129495e-01	6.4695113525e+03
1.0732396988e+07	9.9958404368e-01	6.4703633515e+03
1.0732396988e+07	9.9952650548e-01	6.4713917264e+03
1.0732396988e+07	9.9946879038e-01	6.4725724885e+03
1.0732396988e+07	9.9941027294e-01	6.4738854378e+03
1.0732396988e+07	9.9935161936e-01	6.4753113470e+03
1.0732396988e+07	9.9929256327e-01	6.4768365509e+03
1.0732396988e+07	9.9923162318e-01	6.4784528633e+03
1.0732396988e+07	9.9917049527e-01	6.4801472665e+03
1.0732396988e+07	9.9910917308e-01	6.4819121123e+03
1.0732396988e+07	9.9904687071e-01	6.4837427528e+03
1.0732396988e+07	9.9898424027e-01	6.4856323172e+03
1.0732396988e+07	9.9892139622e-01	6.4875758723e+03
1.0732396988e+07	9.9885769951e-01	6.4895708042e+03
1.0732396988e+07	9.9879241348e-01	6.4916151029e+03
1.0732396988e+07	9.9872689788e-01	6.4937025803e+03
1.0732396988e+07	9.9866114824e-01	6.4958304223e+03
1.0732396988e+07	9.9859432636e-01	6.4979977623e+03
1.0732396988e+07	9.9852605192e-01	6.5002030909e+03
1.0732396988e+07	9.9845692992e-01	6.5024427512e+03
1.0732396988e+07	9.9838615142e-01	6.5047164651e+03
1.0732396988e+07	9.9831512450e-01	6.5070190777e+03
1.0732396988e+07	9.9824384604e-01	6.5093487357e+03
1.0732396988e+07	9.9817231662e-01	6.5117035440e+03
1.0732396988e+07	9.9810053296e-01	6.5140818094e+03
1.0732396988e+07	9.9802849579e-01	6.5164817819e+03
1.0732396988e+07	9.9795620163e-01	6.5189019403e+03
1.0732396988e+07	9.9788365138e-01	6.5213407293e+03
1.0732396988e+07	9.9781084135e-01	6.5237968950e+03
1.0732396988e+07	9.9773777135e-01	6.5262692693e+03
1.0732396988e+07	9.9766444092e-01	6.5287569521e+03
1.0732396988e+07	9.9759084526e-01	6.5312595353e+03
1.0732396988e+07	9.9751698516e-01	6.5337769197e+03
1.0732396988e+07	9.9744285768e-01	6.5363097471e+03
1.0732396988e+07	9.9736846285e-01	6.5388593215e+03
1.0732396988e+07	9.9729379885e-01	6.5414278979e+03
