Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 2172.6861	 0	 23.090774	 937.05033	 Fe hcp (Smith)
116	 0.00015394694	 2172.6861	 1.5331334e-11	 23.090774	 937.05032	 Fe hcp (Smith)
151	 0.00030892944	 2172.6858	 1.2389238e-10	 23.090773	 937.0503	 Fe hcp (Smith)
172	 0.00046919376	 2172.6855	 4.3403365e-10	 23.090772	 937.05026	 Fe hcp (Smith)
187	 0.00063239735	 2172.6849	 1.0627639e-09	 23.09077	 937.0502	 Fe hcp (Smith)
198	 0.00078715048	 2172.6843	 2.0494624e-09	 23.090768	 937.05013	 Fe hcp (Smith)
207	 0.00094154364	 2172.6834	 3.5074218e-09	 23.090765	 937.05004	 Fe hcp (Smith)
215	 0.0011040294	 2172.6824	 5.6546855e-09	 23.090762	 937.04993	 Fe hcp (Smith)
222	 0.0012690486	 2172.6813	 8.5881841e-09	 23.090758	 937.04981	 Fe hcp (Smith)
228	 0.0014299913	 2172.6799	 1.2287589e-08	 23.090754	 937.04966	 Fe hcp (Smith)
234	 0.0016113449	 2172.6783	 1.7580531e-08	 23.090748	 937.04948	 Fe hcp (Smith)
239	 0.0017799226	 2172.6765	 2.369571e-08	 23.090742	 937.0493	 Fe hcp (Smith)
244	 0.0019661368	 2172.6744	 3.1937982e-08	 23.090735	 937.04907	 Fe hcp (Smith)
248	 0.0021290399	 2172.6724	 4.0552501e-08	 23.090728	 937.04885	 Fe hcp (Smith)
252	 0.0023054404	 2172.67	 5.1490583e-08	 23.09072	 937.0486	 Fe hcp (Smith)
256	 0.0024964564	 2172.6672	 6.5378952e-08	 23.090711	 937.0483	 Fe hcp (Smith)
259	 0.0026500346	 2172.6648	 7.8202486e-08	 23.090703	 937.04804	 Fe hcp (Smith)
262	 0.0028130607	 2172.6621	 9.3541246e-08	 23.090694	 937.04775	 Fe hcp (Smith)
265	 0.002986116	 2172.6591	 1.1188857e-07	 23.090683	 937.04742	 Fe hcp (Smith)
268	 0.0031698173	 2172.6557	 1.3383457e-07	 23.090672	 937.04705	 Fe hcp (Smith)
271	 0.0033648197	 2172.6518	 1.6008507e-07	 23.090659	 937.04664	 Fe hcp (Smith)
274	 0.0035718184	 2172.6475	 1.9148439e-07	 23.090644	 937.04617	 Fe hcp (Smith)
277	 0.0037915513	 2172.6426	 2.290424e-07	 23.090628	 937.04564	 Fe hcp (Smith)
279	 0.0039454994	 2172.6389	 2.5808983e-07	 23.090615	 937.04525	 Fe hcp (Smith)
281	 0.0041056982	 2172.635	 2.9082107e-07	 23.090602	 937.04483	 Fe hcp (Smith)
283	 0.0042724016	 2172.6308	 3.2770332e-07	 23.090588	 937.04438	 Fe hcp (Smith)
285	 0.0044458736	 2172.6262	 3.6926301e-07	 23.090573	 937.04388	 Fe hcp (Smith)
287	 0.0046263892	 2172.6212	 4.1609333e-07	 23.090556	 937.04335	 Fe hcp (Smith)
289	 0.0048142341	 2172.6159	 4.6886271e-07	 23.090538	 937.04277	 Fe hcp (Smith)
