# label: core_mass_fraction=0.325__planet_mass=10.0
# converged: True
# cmb_mass: 1.9416702320442237e+25
# core_mantle_mass: 1.9416702320442237e+25
# core_eos: PALEOS:iron
# mantle_eos: PALEOS:MgSiO3
# ice_layer_eos: 
# rock_solidus_id: Monteux16-solidus
# rock_liquidus_id: Monteux16-liquidus-A-chondritic
radius_m,density_kg_m3,gravity_m_s2,pressure_Pa,temperature_K,mass_enclosed_kg,main_component,phase
0,31636.766224005209,0,4994961352262.6777,1305.758682231655,0,Fe,solid
78072.601634727485,31634.803944093426,0.69054843977610081,4994108495353.1914,1305.758682231655,6.3064552130805973e+19,Fe,solid
156145.20326945497,31628.916263703293,1.3809427235305307,4991550433037.8682,1305.758682231655,5.0446236954770185e+20,Fe,solid
234217.80490418244,31619.107424867765,2.0710285691455619,4987288687501.5039,1305.5642819238108,1.7022214160997889e+21,Fe,solid
312290.40653890994,31605.38044290174,2.7606518882261226,4981325793602.9932,1304.9674858104124,4.0338567271909855e+21,Fe,solid
390363.00817363744,31587.7213741464,3.4496589269249673,4973665306500.6523,1304.2000908148777,7.8760731576259387e+21,Fe,solid
468435.60980836488,31566.122631889826,4.1378948998037854,4964311792771.1133,1303.262026745324,1.3604284660925944e+22,Fe,solid
546508.21144309244,31540.57491800368,4.8252041251699485,4953270830348.0322,1302.1532468656676,2.1592566414050178e+22,Fe,solid
624580.81307781988,31511.067244563339,5.5114340799367341,4940549021674.3145,1300.8737036398902,3.22127062660145e+22,Fe,solid
702653.41471254732,31477.737057593298,6.196431769164092,4926153945551.752,1299.4233458705771,4.583583614367694e+22,Fe,solid
780726.01634727488,31440.527353149249,6.8800424142612,4910094161651.0566,1297.802117706882,6.2830884009343527e+22,Fe,solid
858798.61798200232,31399.341439196003,7.5621114153156217,4892379225653.2988,1296.0099591490487,8.3563531278616264e+22,Fe,solid
936871.21961672977,31354.16120933582,8.2424843510933119,4873019689249.916,1294.0468073327627,1.0839621282039327e+23,Fe,solid
1014943.8212514573,31305.101294682903,8.9210069790386139,4852027100142.7021,1291.9126002069049,1.3768811695686878e+23,Fe,solid
1093016.4228861849,31252.237909245057,9.5975252352742579,4829414002043.8174,1289.6072743623945,1.7179518546353294e+23,Fe,solid
1171089.0245209122,31195.342852236477,10.27188523460136,4805193934675.7832,1287.1307623876548,2.1107011356917197e+23,Fe,solid
1249161.6261556398,31134.50249766852,10.943933270499434,4779381433771.4814,1284.4829976935127,2.5586234995586845e+23,Fe,solid
1327234.2277903673,31069.912954188181,11.613516868537433,4751991811259.6123,1281.6638936478469,3.0651343681078096e+23,Fe,solid
1405306.8294250946,31001.237084271386,12.280483758178773,4723041362063.5586,1278.6733577229948,3.6336244626363022e+23,Fe,solid
1483379.4310598222,30928.787999031658,12.944680471197724,4692547554706.6006,1275.5113253319894,4.2674895960275427e+23,Fe,solid
