# label: core_mass_fraction=0.325__planet_mass=10.0
# converged: True
# cmb_mass: 1.9417205959922787e+25
# core_mantle_mass: 1.9417205959922787e+25
# core_eos: PALEOS:iron
# mantle_eos: PALEOS:MgSiO3
# ice_layer_eos: 
# rock_solidus_id: Monteux16-solidus
# rock_liquidus_id: Monteux16-liquidus-A-chondritic
radius_m,density_kg_m3,gravity_m_s2,pressure_Pa,temperature_K,mass_enclosed_kg,main_component,phase
0,31693.324019922467,0,5005361206651.8721,300,0,Fe,solid
78036.623998481402,31691.361716796615,0.69150234204213101,5004505991936.9883,300,6.3093477706801308e+19,Fe,solid
156073.2479969628,31685.473963012861,1.3828506182087665,5001940856606.8604,300,5.0469385899422227e+20,Fe,solid
234109.87199544421,31675.658218298518,2.0738905198143351,4997667324423.709,300,1.7030030928246633e+21,Fe,solid
312146.49599392561,31661.910248057779,2.764467433616657,4991687935943.1572,300,4.0357097569076338e+21,Fe,solid
390183.11999240704,31644.224133873395,3.4544274280973655,4984006255023.5439,300,7.8796929116797361e+21,Fe,solid
468219.74399088841,31622.592244864871,4.143615594504924,4974626859079.1572,300,1.3610540172321466e+22,Fe,solid
546256.36798936978,31597.005229855986,4.8318760853476208,4963555339210.0332,300,2.1602500648770875e+22,Fe,solid
624292.99198785122,31567.452065708581,5.5190539208197551,4950798326846.6494,300,3.2227526881420033e+22,Fe,solid
702329.61598633265,31533.935614447968,6.2049952485168554,4936363438459.8408,300,4.5856902170666433e+22,Fe,solid
780366.23998481408,31496.663476366179,6.8895458731231081,4920259267742.3047,300,6.285971909520307e+22,Fe,solid
858402.86398329539,31455.41362989122,7.57255158978825,4902495404922.6123,300,8.3601821244206132e+22,Fe,solid
936439.48798177682,31410.163072593597,8.2538581841275835,4883082436765.209,300,1.0844580321733511e+23,Fe,solid
1014476.1119802583,31360.901161304464,8.9333114322219576,4862031946570.415,300,1.3775101062473268e+23,Fe,solid
1092512.7359787396,31307.942413952376,9.6107571006177839,4839356514174.4277,300,1.7187354008702463e+23,Fe,solid
1170549.3599772211,31250.957780069759,10.286040946327031,4815069715949.3164,300,2.1116623923532032e+23,Fe,solid
1248585.9839757024,31189.911130950972,10.959008716827213,4789186124803.0244,300,2.5597870671121194e+23,Fe,solid
1326622.6079741837,31125.195836598203,11.62950778449669,4761721115974.7725,300,3.0665295166322041e+23,Fe,solid
1404659.2319726653,31056.412033737368,12.297385941850779,4732691045744.3203,300,3.6352820886485132e+23,Fe,solid
1482695.8559711466,30983.71408760751,12.962489169488389,4702113425972.502,300,4.2694395107559121e+23,Fe,solid
1560732.4799696282,30907.180162878863,13.624663575548892,4670006644857.9912,300,4.9723297487768465e+23,Fe,solid
1638769.1039681095,30826.591833203485,14.28375539976896,4636389966414.4404,300,5.7472138836119802e+23,Fe,solid
1716805.7279665908,30742.276753244914,14.939611013482594,4601283530470.4844,300,6.5972861112402161e+23,Fe,solid
1794842.3519650723,30653.875527462405,15.592076919621109,4564708352669.7344,300,7.525673742718681e+23,Fe,solid
1872878.9759635536,30561.733284608723,16.240999752713126,4526686324470.7822,300,8.5354372041827239e+23,Fe,solid
1950915.599962035,30465.578401861028,16.886226278884596,4487240213147.2002,300,9.6295700368459235e+23,Fe,solid
2028952.2239605165,30365.535841751022,17.527603395858783,4446393661787.5381,300,1.0810998897000101e+24,Fe,solid
2106988.8479589978,30261.669436043245,18.164978132956257,4404171189295.3262,300,1.2082583556015275e+24,Fe,solid
2185025.4719574791,30153.754723391372,18.798197651094924,4360598190389.0742,300,1.3447116900339719e+24,Fe,solid
2263062.0959559605,30042.099893357641,19.427109242789989,4315700935602.2715,300,1.4907324931499928e+24,Fe,solid
2341098.7199544422,29926.534686499144,20.051560332153983,4269506571283.3862,300,1.646586676610062e+24,Fe,solid
2419135.3439529235,29806.988766453156,20.671398474896744,4222043119595.8662,300,1.8125334635824731e+24,Fe,solid
2497171.9679514049,29683.550363041737,21.286470285999968,4173339213393.3818,300,1.9888211304498972e+24,Fe,solid
2575208.5919498862,29556.368536701364,21.896620244085355,4123423688834.7271,300,2.1756795255148309e+24,Fe,solid
2653245.2159483675,29425.252374945943,22.501697451150733,4072327120116.1108,300,2.3733443175611207e+24,Fe,solid
2731281.8399468493,29290.219612090856,23.101551294105064,4020080797978.7549,300,2.5820415606177043e+24,Fe,solid
2809318.4639453306,29151.287646922465,23.696030993335036,3966716621937.2222,300,2.8019860109591758e+24,Fe,solid
2887355.0879438119,29008.476691765805,24.284985602705081,3912267100279.4121,300,3.033381127105796e+24,Fe,solid
2965391.7119422932,28861.796430368398,24.868264009557375,3856765350066.5659,300,3.2764190698234825e+24,Fe,solid
3043428.3359407745,28711.255148029719,25.445714934711827,3800245097133.2622,300,3.5312807021238149e+24,Fe,solid
3121464.9599392563,28556.858208383041,26.017186932466089,3742740676087.4204,300,3.7981355892640364e+24,Fe,solid
3199501.5839377376,28398.606664250463,26.582528390595542,3684287030310.2993,300,4.0771419987470439e+24,Fe,solid
3277538.2079362189,28236.492963009656,27.141587530353313,3624919711956.4966,300,4.3684469003214033e+24,Fe,solid
3355574.8319347003,28070.52320190816,27.694212406470275,3564674881953.9497,300,4.6721859659813367e+24,Fe,solid
3433611.4559331816,27900.676849034731,28.24025090715503,3503589310003.9346,300,4.9884835699667283e+24,Fe,solid
3511648.0799316629,27726.942436942183,28.779550754093915,3441700374581.0684,300,5.3174527887631231e+24,Fe,solid
3589684.7039301447,27549.301379845681,29.311959502451018,3379046062933.3052,300,5.659195401101727e+24,Fe,solid
3667721.327928626,27367.730719044353,29.83732454086816,3315664971081.9409,300,6.0138018879594077e+24,Fe,solid
3745757.9519271073,27182.41745413524,30.35549309146489,3251596303821.6099,300,6.3813514325586886e+24,Fe,solid
3823794.5759255886,26993.215543983293,30.866312209827626,3186879874719.876,300,6.7619119203527418e+24,Fe,solid
3901831.1999240699,26800.020360683942,31.369616714440962,3121555576489.707,300,7.1555213373824968e+24,Fe,solid
