label,core_mass_fraction,planet_mass,R_earth,M_earth,converged,converged_pressure,converged_density,converged_mass,time_s,error
core_mass_fraction=0.01__planet_mass=0.5,0.01,0.5,0.9102275156913854,0.39529673276804717,False,False,False,False,901.2586660385132,
core_mass_fraction=0.01__planet_mass=1.0,0.01,1.0,1.1145083579966857,1.0005665312202223,True,True,True,True,47.90664720535278,
core_mass_fraction=0.01__planet_mass=1.5,0.01,1.5,1.2475374456033659,1.4998873006578488,True,True,True,True,77.19349408149719,
core_mass_fraction=0.01__planet_mass=2.0,0.01,2.0,1.3506832675826899,2.0017321190169857,True,True,True,True,45.8952419757843,
core_mass_fraction=0.01__planet_mass=3.0,0.01,3.0,1.506428687522486,2.9997051288900667,True,True,True,True,70.6384289264679,
core_mass_fraction=0.01__planet_mass=5.0,0.01,5.0,1.7223359751935836,5.001699002210269,True,True,True,True,61.45443606376648,
core_mass_fraction=0.01__planet_mass=7.0,0.01,7.0,1.8753206733001953,7.0001484501388545,True,True,True,True,83.43911719322205,
core_mass_fraction=0.01__planet_mass=10.0,0.01,10.0,2.045936173949552,9.992172916941174,True,True,True,True,109.17990136146545,
core_mass_fraction=0.01__planet_mass=14.0,0.01,14.0,2.21613826237127,13.986329275764692,True,True,True,True,91.25842189788818,
core_mass_fraction=0.01__planet_mass=20.0,0.01,20.0,2.4048883704821367,19.98061283303787,True,True,True,True,172.22681093215942,
core_mass_fraction=0.325__planet_mass=0.5,0.325,0.5,0.8507020476569281,0.5001411336426793,True,True,True,True,45.43482422828674,
core_mass_fraction=0.325__planet_mass=1.0,0.325,1.0,1.0334337640637479,1.0000355242495593,True,True,True,True,61.435895919799805,
core_mass_fraction=0.325__planet_mass=1.5,0.325,1.5,1.155671494434626,1.4991809689778612,True,True,True,True,41.51158285140991,
core_mass_fraction=0.325__planet_mass=2.0,0.325,2.0,1.2493588210794393,1.9992027884628407,True,True,True,True,51.845988035202026,
core_mass_fraction=0.325__planet_mass=3.0,0.325,3.0,1.3899314655212056,2.9982465943715515,True,True,True,True,57.95416188240051,
core_mass_fraction=0.325__planet_mass=5.0,0.325,5.0,1.5842972031105218,4.99650737224161,True,True,True,True,64.52689290046692,
core_mass_fraction=0.325__planet_mass=7.0,0.325,7.0,1.7216991723631172,6.9950419152544985,True,True,True,True,72.02314782142639,
core_mass_fraction=0.325__planet_mass=10.0,0.325,10.0,1.8745199197003184,9.997117494806174,True,True,True,True,88.40848588943481,
core_mass_fraction=0.325__planet_mass=14.0,0.325,14.0,2.025124426002371,14.005578634499805,True,True,True,True,83.09026408195496,
core_mass_fraction=0.325__planet_mass=20.0,0.325,20.0,2.1885647002784827,20.003119561289676,True,True,True,True,119.89033198356628,
core_mass_fraction=0.5__planet_mass=0.5,0.5,0.5,0.811340479673141,0.5000100013857733,True,True,True,True,123.94414901733398,
core_mass_fraction=0.5__planet_mass=1.0,0.5,1.0,0.9848146878235721,0.9994842949320266,True,True,True,True,96.81859707832336,
core_mass_fraction=0.5__planet_mass=1.5,0.5,1.5,1.1011354999843002,1.4993890486320425,True,True,True,True,74.65849995613098,
core_mass_fraction=0.5__planet_mass=2.0,0.5,2.0,1.1898020946185544,1.9981650341053208,True,True,True,True,106.06464910507202,
core_mass_fraction=0.5__planet_mass=3.0,0.5,3.0,1.3235108577067745,2.9985304638404235,True,True,True,True,138.56078267097473,
core_mass_fraction=0.5__planet_mass=5.0,0.5,5.0,1.5034828172528096,4.998637047461866,True,True,True,True,100.21674180030823,
core_mass_fraction=0.5__planet_mass=7.0,0.5,7.0,1.631667959424282,6.996205532625379,True,True,True,True,117.55135703086853,
core_mass_fraction=0.5__planet_mass=10.0,0.5,10.0,1.773856739671962,9.994450777135558,True,True,True,True,90.7910647392273,
core_mass_fraction=0.5__planet_mass=14.0,0.5,14.0,1.9132637925490188,14.005786026266657,True,True,True,True,108.43125677108765,
core_mass_fraction=0.5__planet_mass=20.0,0.5,20.0,2.0634640859766433,19.9810750763388,True,True,True,True,92.94343709945679,
core_mass_fraction=0.999__planet_mass=0.5,0.999,0.5,0.6616189424310663,0.4995325053662645,True,True,True,True,133.9615728855133,
core_mass_fraction=0.999__planet_mass=1.0,0.999,1.0,0.8054901826208137,0.9990172941372745,True,True,True,True,116.94225883483887,
core_mass_fraction=0.999__planet_mass=1.5,0.999,1.5,0.9021506045964163,1.500729789343156,True,True,True,True,148.6667981147766,
core_mass_fraction=0.999__planet_mass=2.0,0.999,2.0,0.9748675540029753,2.0017271581721334,True,True,True,True,113.8114128112793,
core_mass_fraction=0.999__planet_mass=3.0,0.999,3.0,1.074810367389431,2.998785729928124,True,True,True,True,131.81268906593323,
core_mass_fraction=0.999__planet_mass=5.0,0.999,5.0,1.2344533434215654,4.998746929125434,True,True,True,True,94.57596731185913,
core_mass_fraction=0.999__planet_mass=7.0,0.999,7.0,1.3233345523939277,7.002431641494575,True,True,True,True,136.14850497245789,
core_mass_fraction=0.999__planet_mass=10.0,0.999,10.0,1.4377611300721513,10.007695298108622,True,True,True,True,115.18650889396667,
core_mass_fraction=0.999__planet_mass=14.0,0.999,14.0,1.5230198051345785,14.001086815994803,True,True,True,True,122.5766248703003,
core_mass_fraction=0.999__planet_mass=20.0,0.999,20.0,1.626765482544049,19.993410979102794,True,True,True,True,137.10033011436462,
