label,core_mass_fraction,planet_mass,R_earth,M_earth,converged,converged_pressure,converged_density,converged_mass,time_s,error
core_mass_fraction=0.01__planet_mass=0.5,0.01,0.5,0.8688352183337472,0.4998505902183434,True,True,True,True,28.849848747253418,
core_mass_fraction=0.01__planet_mass=1.0,0.01,1.0,1.067293511836546,1.0000429138545588,True,True,True,True,29.455354690551758,
core_mass_fraction=0.01__planet_mass=1.5,0.01,1.5,1.2005899255343386,1.4995373989432632,True,True,True,True,51.4150869846344,
core_mass_fraction=0.01__planet_mass=2.0,0.01,2.0,1.30296291899776,1.9985628868464818,True,True,True,True,44.74838089942932,
core_mass_fraction=0.01__planet_mass=3.0,0.01,3.0,1.4597450409125883,3.0014209653994555,True,True,True,True,60.48513603210449,
core_mass_fraction=0.01__planet_mass=5.0,0.01,5.0,1.6762117481377983,5.0011652108339,True,True,True,True,46.66614007949829,
core_mass_fraction=0.01__planet_mass=7.0,0.01,7.0,1.830345192891109,7.006874635425926,True,True,True,True,45.666943073272705,
core_mass_fraction=0.01__planet_mass=10.0,0.01,10.0,2.0016705291721046,9.990494661576522,True,True,True,True,71.63720607757568,
core_mass_fraction=0.01__planet_mass=14.0,0.01,14.0,2.172708614902383,13.994168891746323,True,True,True,True,93.27664995193481,
core_mass_fraction=0.01__planet_mass=20.0,0.01,20.0,2.3621519390761496,20.013528631029466,True,True,True,True,104.7383029460907,
core_mass_fraction=0.325__planet_mass=0.5,0.325,0.5,0.8087490775751816,0.49997083795980074,True,True,True,True,31.0934898853302,
core_mass_fraction=0.325__planet_mass=1.0,0.325,1.0,0.9914544208416297,1.0001934238654926,True,True,True,True,29.140884160995483,
core_mass_fraction=0.325__planet_mass=1.5,0.325,1.5,1.1130567488635248,1.5004679150630447,True,True,True,True,25.514087915420532,
core_mass_fraction=0.325__planet_mass=2.0,0.325,2.0,1.206408682873609,2.0012552769222025,True,True,True,True,30.883795976638794,
core_mass_fraction=0.325__planet_mass=3.0,0.325,3.0,1.3483140556077935,3.000573306386936,True,True,False,True,26.08066201210022,
core_mass_fraction=0.325__planet_mass=5.0,0.325,5.0,1.543552470287285,5.000273914418813,True,True,True,True,23.393002033233643,
core_mass_fraction=0.325__planet_mass=7.0,0.325,7.0,1.6820234724719119,7.004696924230987,True,True,True,True,23.90069890022278,
core_mass_fraction=0.325__planet_mass=10.0,0.325,10.0,1.835304069027218,10.004227914845064,True,True,True,True,31.422029972076416,
core_mass_fraction=0.325__planet_mass=14.0,0.325,14.0,1.9864120688200564,13.998810198775805,True,True,True,True,77.11416602134705,
core_mass_fraction=0.325__planet_mass=20.0,0.325,20.0,2.1534003224039067,20.01511437868448,True,True,True,True,40.547455072402954,
core_mass_fraction=0.5__planet_mass=0.5,0.5,0.5,0.7724994178289998,0.5004014065650385,True,True,True,True,24.90022087097168,
core_mass_fraction=0.5__planet_mass=1.0,0.5,1.0,0.9450723710366835,1.0000925091255206,True,True,True,True,35.5113730430603,
core_mass_fraction=0.5__planet_mass=1.5,0.5,1.5,1.060284296052541,1.5003479508128967,True,True,True,True,31.203160047531128,
core_mass_fraction=0.5__planet_mass=2.0,0.5,2.0,1.1483228565301575,1.9997026055760152,True,True,True,True,33.08837819099426,
core_mass_fraction=0.5__planet_mass=3.0,0.5,3.0,1.2818305683427664,3.001082208129115,True,True,True,True,39.13328003883362,
core_mass_fraction=0.5__planet_mass=5.0,0.5,5.0,1.4651493908215654,5.000387852294142,True,True,True,True,40.828628063201904,
core_mass_fraction=0.5__planet_mass=7.0,0.5,7.0,1.5941634232985695,7.004509278456081,True,True,False,True,48.98899579048157,
core_mass_fraction=0.5__planet_mass=10.0,0.5,10.0,1.7374347644222656,10.008332696386924,True,True,True,True,43.32547974586487,
core_mass_fraction=0.5__planet_mass=14.0,0.5,14.0,1.8778153072833499,14.009122923769937,True,True,True,True,59.534834146499634,
core_mass_fraction=0.5__planet_mass=20.0,0.5,20.0,2.0317520288363746,20.008757522642583,True,True,True,True,48.324403285980225,
core_mass_fraction=0.999__planet_mass=0.5,0.999,0.5,0.6407410227278593,0.4996967475509484,True,True,True,True,101.83998608589172,
core_mass_fraction=0.999__planet_mass=1.0,0.999,1.0,0.7801005109827776,1.000746875299145,True,True,True,True,71.26587891578674,
core_mass_fraction=0.999__planet_mass=1.5,0.999,1.5,0.8697899189988444,1.4992724780167892,True,True,True,True,91.96135807037354,
core_mass_fraction=0.999__planet_mass=2.0,0.999,2.0,0.9398757282314119,2.0018773789679005,True,True,True,True,82.74941301345825,
core_mass_fraction=0.999__planet_mass=3.0,0.999,3.0,1.0425455255774336,3.002244151252703,True,True,True,True,103.99638080596924,
core_mass_fraction=0.999__planet_mass=5.0,0.999,5.0,1.1809624658550784,5.00428095080996,True,True,True,True,92.88729810714722,
core_mass_fraction=0.999__planet_mass=7.0,0.999,7.0,1.2764694141531663,7.005809489682761,True,True,True,True,118.52067708969116,
core_mass_fraction=0.999__planet_mass=10.0,0.999,10.0,1.3802813169360424,10.008900107640626,True,True,True,True,82.37907814979553,
core_mass_fraction=0.999__planet_mass=14.0,0.999,14.0,1.4805787399173556,14.012273713560864,True,True,True,True,115.09692192077637,
core_mass_fraction=0.999__planet_mass=20.0,0.999,20.0,1.5890888052389212,20.019223741918022,True,True,True,True,98.31858396530151,
