# standalone zalmoxis Phi-sweep, m=1 M_E, CMF=0.325, PALEOS:MgSiO3 mantle on PALEOS:iron core, adiabatic
# Surface-temperature anchors from 4800 K, where the mantle is molten, down to 1300 K, where it is fully solid.
# Phi_mantle: mass-weighted melt fraction over mantle shells only, the core-mantle boundary taken from the
#   density step between the two equations of state. This is the melt fraction the figure plots.
# Phi_whole: the same integral carried across the whole planet, which scores the iron core against the
#   silicate melting curve and is therefore not a melt fraction; kept for reference only.
surface_T_K,Phi_mantle,Phi_whole,R_int_m,R_int_RE,R_core_m,P_cmb_GPa,T_cmb_K,P_center_GPa,T_center_K,core_mass_frac
4800,0.992410,0.764807,7.154169e+06,1.129230,3.409034e+06,109.7232,5428.2,360.5870,6000.0,0.3256
4500,0.959261,0.704451,7.038750e+06,1.111012,3.401275e+06,117.8192,5275.2,373.3574,6000.0,0.3267
4200,0.890398,0.629602,6.916955e+06,1.091788,3.388844e+06,124.7836,5118.1,383.9923,6000.0,0.3269
3900,0.775356,0.534122,6.788767e+06,1.071554,3.371603e+06,130.8830,4957.0,392.7208,6000.0,0.3264
3700,0.675837,0.459492,6.707289e+06,1.058694,3.376152e+06,133.1204,4842.3,397.1237,6000.0,0.3278
3500,0.556205,0.375905,6.627937e+06,1.046169,3.380693e+06,134.8302,4724.8,400.8269,6000.0,0.3292
3300,0.431284,0.293828,6.561222e+06,1.035638,3.346664e+06,138.2642,4622.8,403.4335,6000.0,0.3255
3100,0.326436,0.221285,6.500495e+06,1.026053,3.359316e+06,138.5626,4501.3,405.6287,6000.0,0.3277
2900,0.239580,0.163366,6.451067e+06,1.018251,3.333773e+06,140.9314,4398.0,407.3205,6000.0,0.3251
2700,0.178017,0.120309,6.421802e+06,1.013632,3.361749e+06,139.7219,4272.5,408.5732,6000.0,0.3291
2500,0.128751,0.087289,6.398590e+06,1.009968,3.349597e+06,140.9131,4167.8,409.4838,6000.0,0.3278
2300,0.092492,0.062865,6.380390e+06,1.007095,3.340070e+06,141.8806,4063.1,410.2389,6000.0,0.3268
2100,0.065394,0.044531,6.366772e+06,1.004946,3.332941e+06,142.7299,3958.4,411.0286,6000.0,0.3260
1900,0.042668,0.029059,6.363251e+06,1.004390,3.331098e+06,143.1914,3853.7,411.7329,6000.0,0.3259
1700,0.018127,0.012351,6.356881e+06,1.003384,3.327763e+06,143.7553,3749.0,412.4492,6000.0,0.3256
1500,0.001533,0.001046,6.347130e+06,1.001845,3.322659e+06,144.4611,3644.3,413.2080,6000.0,0.3251
1300,0.000000,0.000000,6.337819e+06,1.000376,3.360320e+06,142.4075,3508.1,413.9185,6000.0,0.3301
