config,Phi_global,H2O_vmr,CO2_vmr,O2_vmr,H2_vmr,CH4_vmr,CO_vmr,N2_vmr,S2_vmr,SO2_vmr,H2S_vmr,P_surf,fO2_shift_IW_derived,O_kg_total,O_res
S2_m5_IW0_fixed,4.9666309596e-01,1.4993371116e-02,1.3297782419e-01,4.2133084874e-06,1.2829159506e-02,2.1716226814e-08,8.3145154454e-01,7.6401730421e-03,2.4206227109e-06,5.4158655582e-05,4.6684556969e-05,4.7682734317e+02,0.0000000000e+00,1.8100907732e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9660074164e-01,1.4997218997e-02,1.3287397150e-01,4.3132907715e-06,1.2831503292e-02,2.1523209570e-08,8.3154874202e-01,7.6398573089e-03,2.4435682796e-06,5.4780505439e-05,4.6720164187e-05,4.7682852240e+02,0.0000000000e+00,1.8100726528e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9653350169e-01,1.5001333135e-02,1.3277203652e-01,4.4136027811e-06,1.2834112986e-02,2.1336814173e-08,8.3164349329e-01,7.6395416431e-03,2.4663256642e-06,5.5397466130e-05,4.6756738999e-05,4.7683030770e+02,0.0000000000e+00,1.8100544247e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9646503193e-01,1.5005525722e-02,1.3266651035e-01,4.5198836577e-06,1.2836778298e-02,2.1145552558e-08,8.3174167540e-01,7.6392157300e-03,2.4900867453e-06,5.6043021188e-05,4.6794317268e-05,4.7683204435e+02,0.0000000000e+00,1.8100354049e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9639702823e-01,1.5009693436e-02,1.3255975794e-01,4.6299798065e-06,1.2839433007e-02,2.0953798496e-08,8.3184110297e-01,7.6388870083e-03,2.5143338949e-06,5.6703243498e-05,4.6832013968e-05,4.7683367739e+02,0.0000000000e+00,1.8100160120e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9633071339e-01,1.5013760760e-02,1.3245384821e-01,4.7418300906e-06,1.2842030397e-02,2.0765283115e-08,8.3193983891e-01,7.6385617572e-03,2.5386004097e-06,5.7365445453e-05,4.6869123011e-05,4.7683518506e+02,0.0000000000e+00,1.8099966160e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9626689829e-01,1.5017677218e-02,1.3235032775e-01,4.8537393626e-06,1.2844539309e-02,2.0582687099e-08,8.3203642615e-01,7.6382445866e-03,2.5625244509e-06,5.8019697833e-05,4.6905142917e-05,4.7683656130e+02,0.0000000000e+00,1.8099775022e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9620602439e-01,1.5021414809e-02,1.3225025807e-01,4.9643978985e-06,1.2846942800e-02,2.0407755012e-08,8.3212985413e-01,7.6379385650e-03,2.5858457632e-06,5.8658771638e-05,4.6939759221e-05,4.7683781336e+02,0.0000000000e+00,1.8099588735e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9614829231e-01,1.5024960515e-02,1.3215427238e-01,5.0728795265e-06,1.2849232681e-02,2.0241424328e-08,8.3221951507e-01,7.6376454757e-03,2.6083970242e-06,5.9277944667e-05,4.6972800084e-05,4.7683895170e+02,0.0000000000e+00,1.8099408601e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9609378785e-01,1.5028308862e-02,1.3206266122e-01,5.1785983593e-06,1.2851404241e-02,2.0083999248e-08,8.3230513115e-01,7.6373661433e-03,2.6300875665e-06,5.9874591932e-05,4.7004187061e-05,4.7683998149e+02,0.0000000000e+00,1.8099235345e+22,0.0000000000e+00
